Stage,Phase,#,From,To,Trigger,Related Status Changes
Sales,,1,[Entry],Closed Won,HO selects Cash payment method and enters credit card,"Payment → CC on File; Site Visit → Select Preferred Times"
Sales,,2,[Entry],Pending Financing Approval,HO selects Lease/Loan payment method,Payment → Financing Submitted (Approval phase begins)
Sales,,3,Pending Financing Approval,Closed Won,Payment stage returns: Financing Approved,Site Visit → Select Preferred Times
Sales,,4,Pending Financing Approval,Closed Lost,Payment stage returns: Financing Denied,None
Sales,,5,Pending Financing Approval,Closed Lost,HO inactive 7+ days or declines to proceed,Payment → Financing Cancelled
Payment,Phase 1: Approval,1,(Sales Entry),Financing Submitted,HO selects Lease/Loan and completes financing application,Sales → Pending Financing Approval
Payment,Phase 1: Approval,2,Financing Submitted,Financing Conditionally Approved,Financing partner returns conditional approval,None
Payment,Phase 1: Approval,3,Financing Submitted,Financing Approved,Financing partner approves immediately,Sales → Closed Won
Payment,Phase 1: Approval,4,Financing Submitted,Financing Denied,Financing partner denies application,Sales → Closed Lost
Payment,Phase 1: Approval,5,Financing Conditionally Approved,Financing Verification Submitted,HO uploads required verification documents,None
Payment,Phase 1: Approval,6,Financing Verification Submitted,Financing Verification Rejected,Financing partner rejects verification docs,None
Payment,Phase 1: Approval,7,Financing Verification Submitted,Financing Approved,Financing partner approves after doc review,Sales → Closed Won
Payment,Phase 1: Approval,8,Financing Verification Rejected,Financing Verification Submitted,HO resubmits corrected docs,None
Payment,Phase 1: Approval,9,Financing Verification Rejected,Financing Denied,HO does not resubmit or partner denies after resubmission,Sales → Closed Lost
Payment,Phase 1: Approval,10,Financing Conditionally Approved,Financing Denied,HO declines to provide docs after 7+ days,Sales → Closed Lost
Payment,Phase 1: Approval,11,(Sales Entry),CC on File,HO selects Cash and enters credit card,Sales → Closed Won
Payment,Phase 1: Approval,12,Financing Conditionally Approved,(no payment status change),HO selects site visit times while waiting for verification,Site Visit → Select Preferred Times
Payment,Phase 2: Collection,13,Installation Approved,Processing,Installation approved AND payment method = Cash,Installation = Installation Approved
Payment,Phase 2: Collection,14,Installation Approved,Processing,Installation approved AND payment method = Lease,Installation = Installation Approved
Payment,Phase 2: Collection,15,Installation Approved,Loan Signoff Pending,Installation approved AND payment method = Loan,Installation = Installation Approved
Payment,Phase 2: Collection,16,Processing,Payment Received,CC charge succeeds (using CC from Phase 1),—
Payment,Phase 2: Collection,17,Processing,Payment Failed,CC charge fails (insufficient funds / expired / declined),—
Payment,Phase 2: Collection,18,Payment Failed,Processing,HO updates CC and retries,—
Payment,Phase 2: Collection,19,Payment Failed,Payment Overdue,HO unresponsive for 7+ days after failure,—
Payment,Phase 2: Collection,20,Processing,Lease Fund Released,Palmetto approves and releases funds,—
Payment,Phase 2: Collection,21,Loan Signoff Pending,Processing,HO signs off on work,—
Payment,Phase 2: Collection,22,Processing,Loan Fund Released,Goodleap releases funds after signoff,—
Payment,Phase 2: Collection,23,Processing,Payment Paused,Case created OR installation issue reported,Case status = Created
Payment,Phase 2: Collection,24,Payment Paused,Processing,Case resolved AND HO confirms satisfaction,Case status = Resolved
Payment,Phase 2: Collection,25,Payment Overdue,Processing,HO contacts and provides updated payment,—
Payment,Phase 2: Collection,26,Payment Overdue,Sent to Collections,Payment overdue 14+ days AND no resolution,—
Payment,Phase 2: Collection,27,Payment Received,Funds Distributed,Payouts processed to CO / Sibi / Sales,—
Payment,Phase 2: Collection,28,Lease Fund Released,Funds Distributed,Payouts processed to CO / Sibi / Sales,—
Payment,Phase 2: Collection,29,Loan Fund Released,Funds Distributed,Payouts processed to CO / Sibi / Sales,—
Site Visit,,1,(Start),Select Preferred Times,Sale status = Closed Won,Sale → Closed Won
Site Visit,,2,Select Preferred Times,Awaiting Contractor Confirmation,HO submits preferred times (up to 3 slots),—
Site Visit,,3,Awaiting Contractor Confirmation,Confirm Site Visit Time,CO confirms availability for one time slot,—
Site Visit,,4a,Awaiting Contractor Confirmation,Contractor to Contact Directly,CO declines all proposed times after 24h,—
Site Visit,,4b,Confirm Site Visit Time,Contractor to Contact Directly,HO declines the CO-confirmed time,—
Site Visit,,5a,Confirm Site Visit Time,Site Visit Confirmed,HO confirms the CO-proposed time,—
Site Visit,,5b,Contractor to Contact Directly,Site Visit Confirmed,CO directly schedules with HO and both confirm,—
Site Visit,,6,Contractor to Contact Directly,Contact customer,CO unable to schedule after 48+ hours and no response,—
Site Visit,,7,Contact customer,Site Visit Confirmed,Sales mediates successfully,—
Site Visit,,8,Site Visit Confirmed,Site Visit Complete,CO marks site visit complete (assessment finished),Material Ordering → Order Pending OR Change Order → Created
Site Visit,,9,Site Visit Complete,(Payment Phase 2: 30% Deposit),Site visit complete AND payment_method = Cash AND factory_direct = true,Payment: reminder triggered
Change Order,,1,(Site Visit Complete),Change Order Created,CO identifies scope/cost adjustment and submits change order,None
Change Order,,2,Change Order Created,Change Order Sent,Sibi approves change order; Sales sends to HO,None
Change Order,,3,Change Order Sent,Change Order Approved,HO reviews and approves change order,"If amount > 0: → Select Payment Method; If amount = 0: → Change Order Complete"
Change Order,,4,Change Order Sent,Change Order Declined,HO reviews and declines change order,None
Change Order,,5,Select Payment Method,Credit Card Required,HO selects Cash AND CC not on file,None
Change Order,,6,Credit Card Required,Change Order Complete,HO enters valid CC; payment processes successfully,None
Change Order,,7,Credit Card Required,Financing Denied,CC payment declined or fails to process,None
Change Order,,8,Financing Denied,Credit Card Required,HO retries with different CC,None
Change Order,,9,Select Payment Method,Change Order Complete,HO selects Lease or Loan,None
Change Order,,10,Select Payment Method,Change Order Complete,Change order amount = $0 (no payment needed),None
Change Order,,11,Change Order Complete,(Install Scheduling),Change order complete; job transitions to install scheduling,Installation → Select Preferred Install Dates
Change Order,,12,Change Order Declined,(Depends on HO decision),HO declines; job may be cancelled or revised,Depends on HO next action
